Time (sec), Theta_0, Theta_1, Theta_2, Theta_3, Theta_4, ThetaDes_0, ThetaDes_1, ThetaDes_2, ThetaDes_3, ThetaDes_4
5.025000, -0.011882, -0.011882, 0.415734, -0.917700, -0.952571, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.025000, -0.008869, -0.008869, 0.415801, -0.917840, -0.952671, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.025000, -0.010174, -0.010174, 0.415865, -0.917707, -0.952780, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.025000, -0.007239, -0.007239, 0.415924, -0.917846, -0.952873, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.026000, -0.008601, -0.008601, 0.415981, -0.917714, -0.952977, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.026000, -0.005700, -0.005700, 0.416033, -0.917854, -0.953066, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.026000, -0.007048, -0.007048, 0.416083, -0.917722, -0.953165, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.026000, -0.004239, -0.004239, 0.416129, -0.917861, -0.953250, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.026000, -0.005680, -0.005680, 0.416173, -0.917730, -0.953346, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.032000, -0.002939, -0.002939, 0.416214, -0.917870, -0.953428, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.032000, -0.004292, -0.004292, 0.416254, -0.917740, -0.953522, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.033000, -0.001508, -0.001508, 0.416292, -0.917880, -0.953601, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.033000, -0.002944, -0.002944, 0.416328, -0.917750, -0.953693, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.033000, -0.000227, -0.000227, 0.416363, -0.917890, -0.953772, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
